Sample,Pitch,P_Anteil,I_Anteil,D_Anteil,PWM
161,4.34,-65,0,-44.7,-109
162,4.45,-66.8,0,-11.6,-80
163,4.83,-72.5,0,-37.9,-110
164,4.84,-72.7,0,-1.4,-80
165,4.79,-71.9,0,5,-80
166,4.7,-70.5,0,9.3,-80
167,4.46,-67,0,23.7,-80
168,4.26,-64,0,19.9,-80
169,3.96,-59.5,0,30.1,-80
170,3.61,-54.1,0,35.7,-80
171,3.12,-46.8,0,48.9,80
172,2.46,-36.8,0,66.1,80
173,1.68,-25.2,0,77.5,80
174,1.09,-16.3,0,59.2,80
175,0.53,-7.9,0,56.2,80
176,-0.01,0.2,0,54.1,80
177,-0.43,6.4,0,41.3,80
178,-0.65,9.7,0,22,50
179,-0.66,9.9,0,1.1,50
180,-0.67,10,0,1.2,50
181,-0.62,9.3,0,-4.7,50
182,-0.54,8,0,-8.6,0
183,-0.43,6.4,0,-10.9,-80
184,-0.24,3.5,0,-19.1,-80
185,-0.07,1,0,-16.7,-80
186,0.03,-0.5,0,-10.2,-80
187,0.06,-0.8,0,-2.4,-80
188,0.15,-2.3,0,-9.7,-80
189,0.05,-0.7,0,10.5,80
190,0,-0.1,0,4.5,80
191,-0.57,8.6,0,57.6,80
192,-1.14,17.1,0,56.7,80
193,-2.36,35.4,0,122,157
194,-2.76,41.4,0,40,81
195,-3.02,45.3,0,25.8,80
196,-3.61,54.2,0,59.5,113
197,-3.68,55.2,0,6.8,80
198,-3.46,51.8,0,-22.4,80
199,-3.23,48.5,0,-22.5,80
200,-3.03,45.4,0,-20.2,80
201,-2.46,36.9,0,-56.6,-80
202,-1.91,28.6,0,-55.3,-80
203,-1.1,16.5,0,-80.9,-80
204,-0.19,2.8,0,-91.2,-88
205,0.6,-9.1,0,-79.3,-88
206,1.66,-24.9,0,-105.9,-130
207,2.33,-34.9,0,-66.6,-101
208,2.75,-41.2,0,-42,-83
209,3.06,-46,0,-31.5,-80
210,3.26,-48.9,0,-19.9,-80
211,3.5,-52.5,0,-23.7,-80
212,3.52,-52.8,0,-2,-80
213,3.41,-51.1,0,11,-80
214,3.32,-49.8,0,8.7,-80
215,3.14,-47,0,18.7,-80
216,3.01,-45.1,0,12.8,-50
217,2.42,-36.4,0,58.3,80
218,1.81,-27.2,0,60.9,80
219,1.06,-15.9,0,75.4,80
220,0.44,-6.6,0,62.4,80
221,-0.14,2,0,57.4,80
222,-0.72,10.8,0,58.6,80
223,-1.73,25.9,0,100.6,126
224,-1.91,28.7,0,18.4,80
225,-2.16,32.4,0,24.6,80
226,-1.98,29.7,0,-17.5,80
